0,0
1,0
2,0.39
3,10.69
4,34.71
5,54.54
6,66.97
7,74.13
8,78.28
9,80.67
10,82.36
11,83.49
12,84.28
13,84.76
14,85.19
15,85.43
16,85.6
17,85.84
18,85.86
19,85.96
20,86.05
21,86.03
22,86.09
23,86.09
24,86.24
25,86.35
26,86.32
27,86.29
28,86.3
29,86.29
30,86.35
31,86.3
32,86.27
33,86.21
34,86.27
35,86.32
36,86.29
37,86.21
38,86.19
39,86.26
40,86.28
41,86.34
42,86.31
43,86.32
44,86.29
45,86.28
46,86.3
47,86.38
48,86.42
49,86.39
50,86.35
51,86.42
52,86.42
53,86.37
54,86.33
55,86.42
56,86.38
57,86.37
58,86.34
59,86.35
60,86.31
61,86.27
62,86.38
63,86.43
64,86.38
65,86.44
66,86.39
67,86.3
68,86.35
69,86.41
70,86.41
71,86.4
72,86.37
73,86.34
74,86.32
75,86.35
76,86.35
77,86.3
78,86.28
79,86.25
80,86.23
81,86.28
82,86.22
83,86.31
84,86.34
85,86.33
86,86.31
87,86.29
88,86.3
89,86.38
90,86.36
