0,1
1,1
2,1
3,2
4,21
5,2974
6,28918
7,75139
8,118284
9,152509
10,178022
11,197398
12,212166
13,223077
14,232011
15,238593
16,243943
17,247878
18,251132
19,253731
20,255920
21,257389
22,258777
23,259960
24,260683
25,261755
26,262378
27,263151
28,263486
29,263803
30,264534
31,264906
32,265069
33,264878
34,265201
35,265631
36,265608
37,265885
38,266074
39,266294
40,266309
41,266206
42,266098
43,266404
44,266447
45,266429
46,266538
47,266718
48,267033
49,267033
50,266792
51,267094
52,267093
53,266664
54,266439
55,266805
56,266786
57,266926
58,266820
59,266504
60,266743
61,266769
62,267059
63,266856
64,266636
65,266816
66,267011
67,266979
68,266835
69,266757
70,266957
71,266880
72,266833
73,266974
74,266830
75,266895
76,266503
77,266471
78,266560
79,266789
80,266776
81,266864
82,266856
83,266913
84,267222
85,267283
86,267256
87,267066
88,267106
89,266941
90,267067
