0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.01
16,0.01
17,0.01
18,0.01
19,0.01
20,0.01
21,0.01
22,0.01
23,0.01
24,0.01
25,0.01
26,0.02
27,0.03
28,0.03
29,0.04
30,0.05
31,0.07
32,0.09
33,0.12
34,0.16
35,0.22
36,0.28
37,0.38
38,0.5
39,0.65
40,0.86
41,1.09
42,1.41
43,1.8
44,2.3
45,2.9
46,3.61
47,4.54
48,5.72
49,7.14
50,8.77
51,10.66
52,12.92
53,15.45
54,18.2
55,21.24
56,24.39
57,27.69
58,31.07
59,34.39
60,37.5
61,40.55
62,43.31
63,45.92
64,48.47
65,50.65
66,52.54
67,54.36
68,56.04
69,57.34
70,58.63
71,59.73
72,60.75
73,61.68
74,62.47
75,63.04
76,63.72
77,64.34
78,64.67
79,65.05
80,65.49
81,65.94
82,66.19
83,66.28
84,66.62
85,66.88
86,67.09
87,67.32
88,67.45
89,67.48
90,67.65
